name	group	protein (g)	calcium (g)	sodium (g)	fiber (g)	vitaminc (g)	potassium (g)	carbohydrate (g)	sugars (g)	fat (g)	water (g)	calories	saturated (g)	monounsat (g)	polyunsat (g)	id
Pie, banana cream, prepared from recipe	Baked Products	4.4	0.075	0.24	0.7	0.0016	0.165	32.9	12.06	13.6	47.9	269	3.758	5.719	3.292	33712
Pie, blueberry, commercially prepared	Baked Products	1.8	0.008	0.219	1	0.0027	0.05	34.9	9.89	10	52.5	232	1.679	4.244	3.524	33713
Pie, cherry, commercially prepared	Baked Products	2	0.012	0.246	0.8	0.0009	0.081	39.8	14.29	11	46.2	260	2.562	5.837	2.055	33715
Pie, coconut creme, commercially prepared	Baked Products	2.1	0.029	0.301	1.3	0	0.065	37.2	36.27	16.6	43.2	298	6.976	7.26	1.544	33720
Pie, egg custard, commercially prepared	Baked Products	5.5	0.08	0.15	1.6	0.0006	0.106	20.8	11.58	11.6	60.9	210	2.349	4.797	3.723	33722
Pie, fried pies, fruit	Baked Products	3	0.022	0.374	2.6	0.0013	0.065	42.6	21.4	16.1	37.6	316	2.457	7.449	5.376	33724
Pie, lemon meringue, commercially prepared	Baked Products	1.5	0.056	0.172	1.2	0.0032	0.089	47.2	23.86	8.7	41.7	268	1.766	2.685	3.648	33726
Pie, mince, prepared from recipe	Baked Products	2.6	0.022	0.254	2.6	0.0059	0.203	48	28.31	10.8	37.4	289	2.682	4.654	2.842	33728
Pie, peach	Baked Products	1.9	0.008	0.194	0.8	0.0009	0.125	32.9	6.19	10	54.4	223	1.508	4.241	3.749	33729
Pie, pecan, commercially prepared	Baked Products	4.5	0.022	0.158	2.1	0	0.099	59.61	25.18	16.69	18.25	407	2.654	8.317	3.554	33730
Pie, pumpkin, commercially prepared	Baked Products	3.9	0.064	0.338	1.8	0	0.167	34.83	18.88	9.75	50.39	243	1.988	4.6	1.77	33732
Pie, vanilla cream, prepared from recipe	Baked Products	4.8	0.09	0.26	0.6	0.0005	0.126	32.6	12.68	14.4	47	278	4.03	6.043	3.438	33734
Puff pastry, frozen, ready-to-bake	Baked Products	7.3	0.01	0.249	1.5	0	0.061	45.1	0.74	38.1	8.5	551	9.643	21.597	4.894	33737
Puff pastry, frozen, ready-to-bake, baked	Baked Products	7.4	0.01	0.253	1.5	0	0.062	45.7	0.75	38.5	7.4	558	5.502	8.828	22.228	33738
Rolls, dinner, egg	Baked Products	9.5	0.059	0.459	3.7	0	0.104	52	4.3	6.4	30.4	307	1.577	2.93	1.128	33739
Rolls, dinner, oat bran	Baked Products	9.5	0.085	0.413	4.1	0	0.121	40.2	6.67	4.6	44	236	0.619	1.488	1.568	33740
Rolls, dinner, plain, commercially prepared (includes brown-and-serve)	Baked Products	10.86	0.178	0.536	2	0.0002	0.139	52.04	5.55	6.47	28.44	310	1.375	1.881	2.509	33741
Rolls, dinner, rye	Baked Products	10.3	0.03	0.65	4.9	0	0.18	53.1	1.17	3.4	30.1	286	0.605	1.236	0.708	33743
Rolls, dinner, wheat	Baked Products	8.6	0.176	0.485	3.8	0	0.115	46	1.63	6.3	37	273	1.497	3.109	1.107	33744
Rolls, dinner, whole-wheat	Baked Products	8.7	0.106	0.401	7.5	0	0.272	51.1	8.46	4.7	33.1	266	0.836	1.199	2.161	33745
Rolls, french	Baked Products	8.6	0.091	0.507	3.2	0	0.114	50.2	0.31	4.3	34.8	277	0.962	1.961	0.834	33746
Rolls, hamburger or hotdog, mixed-grain	Baked Products	9.6	0.095	0.458	3.8	0	0.16	44.6	6.25	6	38	263	1.39	2.839	1.153	33747
Rolls, hamburger or hotdog, plain	Baked Products	9.5	0.138	0.479	2.1	0	0.094	49.45	6.25	4.33	34.7	279	1.092	1.112	1.968	33748
Rolls, hamburger or hotdog, reduced-calorie	Baked Products	8.3	0.059	0.442	6.2	0.0002	0.078	42.1	4.76	2	46	196	0.325	0.524	0.763	33749
Rolls, hard (includes kaiser)	Baked Products	9.9	0.095	0.544	2.3	0	0.108	52.7	1.77	4.3	31	293	0.606	1.133	1.719	33750
Rolls, pumpernickel	Baked Products	10.8	0.067	0.707	5.4	0	0.208	52.8	0.4	2.8	32	277	0.495	0.609	1.184	33751
Strudel, apple	Baked Products	3.3	0.015	0.157	2.2	0.0017	0.149	41.1	25.75	11.2	43.5	274	2.044	3.267	5.315	33752
Sweet rolls, cinnamon, commercially prepared with raisins	Baked Products	6.2	0.072	0.304	2.4	0.002	0.111	50.9	31.73	16.4	24.8	372	3.079	4.797	7.473	33754
Taco shells, baked	Baked Products	7.08	0.101	0.389	4.6	0	0.223	62.72	1.23	20.83	7.38	467	6.246	6.43	7.265	33757
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Apple cinnamon	Baked Products	4.4	0.023	0.334	1.1	0	0.091	72.02	33.7	10.2	12.5	395	1.69	5.87	2.6	33759
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Blueberry	Baked Products	4.6	0.024	0.35	1.1	0	0.095	68.38	30.9	13.3	12.5	408	2.02	6.5	4.81	33760
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Brown sugar cinnamon	Baked Products	5.4	0.031	0.38	1.5	0	0.135	64.4	25.4	18.4	10.5	438	2.08	7.14	9.14	33761
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Cherry	Baked Products	4.6	0.028	0.423	1.1	0	0.114	71.19	31.7	10.4	12.5	393	1.67	5.73	3	33762
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted blueberry	Baked Products	4.6	0.024	0.32	1.1	0	0.095	71.77	31.2	10	12.5	391	1.98	6.83	1.13	33763
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted brown sugar cinnamon	Baked Products	5	0.029	0.35	1.3	0	0.111	68.32	30.8	14.8	10.5	422	2.26	7.88	4.76	33764
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted cherry	Baked Products	4.2	0.025	0.32	1	0	0.095	71.96	36	10.2	12.5	393	1.94	6.69	1.58	33765
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted chocolate fudge	Baked Products	5.1	0.038	0.44	1.1	0	0.158	71.8	38	9.3	12.5	387	1.9	5.2	2.2	33766
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted chocolate vanilla creme	Baked Products	5	0.03	0.441	1	0	0.12	70.84	37.3	10.2	12.5	391	1.94	6.19	1.98	33767
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted grape	Baked Products	4.4	0.023	0.333	1	0	0.115	72.25	35.4	9.8	12.5	391	1.73	5.9	2.15	33768
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted raspberry	Baked Products	4.2	0.022	0.32	1	0	0.085	71.54	35.4	10.6	12.5	395	1.88	6.17	2.56	33769
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted strawberry	Baked Products	4.4	0.022	0.325	1	0	0.085	72.4	37.5	9.6	12.5	390	2.6	5.6	1.4	33770
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted wild berry	Baked Products	4.3	0.021	0.311	1	0	0.082	72.9	38.8	9.2	12.5	388	2.6	5.4	1.3	33771
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, S'mores	Baked Products	6.2	0.029	0.41	1.4	0	0.125	69.6	36.5	10.5	12.5	392	2.8	5.9	1.8	33772
Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Strawberry	Baked Products	4.7	0.024	0.355	1.1	0	0.093	71	33	10.5	12.5	394	2.9	6.2	1.5	33773
Toaster Pastries, fruit, frosted (include apples, blueberry, cherry, strawberry)	Baked Products	4.23	0.011	0.312	0.7	0	0.071	70.81	35.52	10.08	13.79	391	2.672	5.733	1.235	33774
Toaster pastries, fruit (includes apple, blueberry, cherry, strawberry)	Baked Products	4.67	0.011	0.334	1.1	0	0.075	69.23	28.59	10.56	14.43	391	2.618	6.404	1.082	33776
Toaster pastries, fruit, toasted ( include apple, blueberry, cherry, strawberry)	Baked Products	4.7	0.011	0.354	1	0	0.081	72.7	28.99	11.03	10.46	409	2.637	6.55	1.281	33777
Tortillas, ready-to-bake or -fry, corn	Baked Products	5.7	0.081	0.045	6.3	0	0.186	44.64	0.88	2.85	45.89	218	0.453	0.692	1.419	33778
Tortillas, ready-to-bake or -fry, flour	Baked Products	8.29	0.129	0.636	3.1	0	0.155	51.35	1.92	7.75	30.22	312	1.886	3.894	1.584	33780
Waffle, buttermilk, frozen, ready-to-heat, microwaved	Baked Products	6.92	0.125	0.663	2.4	0	0.11	44.16	4.5	9.4	36.48	289	2.057	4.864	1.615	33785
Waffle, buttermilk, frozen, ready-to-heat, toasted	Baked Products	7.42	0.299	0.71	2.6	0	0.138	48.39	4.41	9.49	31.57	309	2.283	5.292	1.526	33786
Waffle, plain, frozen, ready-to-heat, microwave	Baked Products	6.71	0.197	0.682	2.4	0	0.148	45.41	5.04	9.91	34.95	298	1.58	5.195	2.24	33787
Waffles, buttermilk, frozen, ready-to-heat	Baked Products	6.58	0.279	0.621	2.2	0	0.126	41.05	4.3	9.22	40.34	273	1.89	4.53	1.539	33788
Waffles, chocolate chip, frozen, ready-to-heat	Baked Products	5.71	0.143	0.543	1.4	0	0.071	41.48	12.86	10	40	279	3.571	2.564	3.272	33789
Waffles, plain, frozen, ready -to-heat, toasted	Baked Products	7.19	0.307	0.73	2.4	0	0.144	49.29	5.02	9.61	30.59	312	1.638	4.914	2.197	33790
Waffles, plain, frozen, ready-to-heat	Baked Products	6.47	0.308	0.638	2.2	0	0.125	42.98	4.91	9.7	37.95	285	1.531	5.129	2.165	33791
Baking chocolate, mexican, squares	Sweets	3.64	0.034	0.003	4	0.0001	0.397	77.41	69.4	15.59	1.59	426	8.606	5.044	1.162	33796
Baking chocolate, unsweetened, squares	Sweets	12.9	0.101	0.024	16.6	0	0.83	29.84	0.91	52.31	1.34	501	32.351	16.105	1.555	33798
Candies, 5TH AVENUE Candy Bar	Sweets	8.78	0.073	0.225	3.1	0.0004	0.347	62.68	47.19	23.98	2.3	482	6.65	10.6	3.39	33799
Candies, ALMOND JOY BITES	Sweets	5.58	0.109	0.039	4.3	0.001	0.306	57.54	51.71	34.5	1.26	563	20.6	8.85	1.46	33800
Candies, ALMOND JOY Candy Bar	Sweets	4.13	0.064	0.142	5	0.0007	0.254	59.51	48.34	26.93	8.2	479	17.59	5.26	1.18	33801
Candies, CARAMELLO Candy Bar	Sweets	6.19	0.213	0.122	1.2	0.0017	0.341	63.81	56.92	21.19	6.79	462	12.72	5.29	0.63	33802
Candies, HEATH BITES	Sweets	3.94	0.086	0.245	2	0.0008	0.21	63.39	60.02	30.38	0.86	530	15.62	8.8	2.55	33803
Candies, HERSHEY'S MILK CHOCOLATE WITH ALMOND BITES	Sweets	9.76	0.22	0.074	3.6	0.0018	0.471	51	44.59	35.73	1.19	550	17.39	14.38	2.42	33805
Candies, HERSHEY, KIT KAT BIG KAT Bar	Sweets	6.24	0.138	0.064	1.9	0.0013	0.294	63.64	53.96	27.84	1.1	520	17.99	4.91	0.51	33807
Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk chocolate	Sweets	9.53	0.07	0.264	3.3	0.0006	0.295	55.38	40.33	31.34	1.6	521	13.21	10.82	4.68	33808
Candies, KIT KAT Wafer Bar	Sweets	6.51	0.125	0.054	1	0	0.231	64.59	48.68	25.99	1.63	518	17.953	5.844	0.895	33809
Candies, KRACKEL Chocolate Bar	Sweets	6.62	0.158	0.196	2.2	0.0008	0.325	63.96	52.53	26.58	1.17	512	15.92	6.25	0.57	33810
Candies, MARS SNACKFOOD US, 3 MUSKETEERS Bar	Sweets	2.6	0.054	0.194	1.5	0.0002	0.133	77.77	66.89	12.75	5.8	436	8.646	2.373	0.316	33811
Candies, MARS SNACKFOOD US, M&M's Almond Chocolate Candies	Sweets	7.53	0.155	0.045	5.6	0.0006	0.381	60.5	49.22	27.76	2.52	522	9.435	11.29	3.753	33818
Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies	Sweets	4.33	0.105	0.061	2.8	0.0005	0.261	71.19	63.68	21.13	1.7	492	13.08	5.183	0.921	33821
Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies	Sweets	10.16	0.088	0.213	4	0.0005	0.33	56.89	47.15	29.32	2	529	18.485	4.448	0.542	33822
Candies, MARS SNACKFOOD US, M&M's Peanut Chocolate Candies	Sweets	9.57	0.102	0.05	3.7	0	0.347	60.48	50.75	26.13	2.48	515	10.169	8.086	3.456	33823
Candies, MARS SNACKFOOD US, MARS Almond Bar	Sweets	8.1	0.168	0.17	2	0.0007	0.325	62.7	52.1	23	4.5	467	7.268	10.693	3.98	33824
Candies, MARS SNACKFOOD US, MILKY WAY Bar	Sweets	4.01	0.115	0.167	1	0.0007	0.124	71.17	59.69	17.23	6.3	456	12.016	2.23	0.26	33825
Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar	Sweets	3.2	0.053	0.168	2.9	0.0002	0.196	71.22	57.81	17.5	7.2	443	11.474	4.639	0.514	33828
Candies, MARS SNACKFOOD US, SNICKERS Bar	Sweets	7.53	0.093	0.239	2.3	0.0005	0.323	61.51	50.47	23.85	5.55	491	9.069	7.875	3.014	33837
Candies, MARS SNACKFOOD US, TWIX Caramel Cookie Bars	Sweets	4.91	0.106	0.198	1.1	0.0006	0.186	64.8	48.25	24.85	4.23	502	18.96	2.988	0.628	33844
Candies, MARS SNACKFOOD US, TWIX Peanut Butter Cookie Bars	Sweets	9.18	0.075	0.226	3.1	0.0003	0.264	54.15	36.13	32.67	1.82	536	15.758	12.317	3.407	33845
Candies, MARS SNACKFOOD US, TWIX chocolate fudge cookie bars	Sweets	7.3	0.13	0.266	3	0.001	0.309	56	53	33.3	2.2	550	4.962	14.319	12.521	33846
Candies, MOUNDS Candy Bar	Sweets	4.6	0.021	0.145	3.7	0.0004	0.321	58.59	46.19	26.6	9.05	486	20.58	0.39	0.14	33847
Candies, MR. GOODBAR Chocolate Bar	Sweets	10.22	0.11	0.041	3.8	0.0009	0.394	54.34	47.22	33.21	0.45	538	14.13	8.203	4.366	33848
Candies, NESTLE, 100 GRAND Bar	Sweets	2.5	0.076	0.203	1	0.0007	0.163	70.97	51.9	19.33	6.1	468	11.9	6.039	1.388	33849
Candies, NESTLE, BABY RUTH Bar	Sweets	5.4	0.047	0.23	2	0	0.249	64.8	54	21.6	6.99	459	12.1	5.557	2.638	33851
Candies, NESTLE, BIT-O'-HONEY Candy Chews	Sweets	2	0.035	0.295	0.2	0.0008	0.044	80	48	7.5	8.3	375	5.5	1.03	0.338	33852
Candies, NESTLE, BUTTERFINGER Bar	Sweets	5.4	0.036	0.23	2	0	0.22	72.9	45.9	18.9	1.23	459	9.5	5.119	3.164	33853
Candies, NESTLE, OH HENRY! Bar	Sweets	7.7	0.069	0.193	1.9	0	0.259	65.5	46.2	23	2.3	462	9.6	5.53	2.706	33857
Candies, REESE'S BITES	Sweets	11.34	0.112	0.179	3.1	0.0008	0.382	55.18	48.03	29.85	1.65	521	18	7.06	1.82	33859
Candies, REESE'S NUTRAGEOUS Candy Bar	Sweets	11.28	0.068	0.141	3.9	0.0005	0.364	52.8	40.22	32.09	1.5	517	8.86	12.63	8.09	33860
Candies, REESE'S PIECES Candy	Sweets	12.46	0.069	0.194	3	0	0.359	59.86	53.25	24.77	1	497	16.42	4.46	1.88	33861
Candies, REESE'S Peanut Butter Cups	Sweets	10.24	0.078	0.357	3.6	0.0003	0.343	55.36	47.17	30.53	1.44	515	10.73	13.1	5.5	33862
Candies, REESE'S, FAST BREAK, milk chocolate peanut butter and soft nougats	Sweets	8.66	0.061	0.33	2.9	0.0004	0.284	61.6	53.08	23.42	4.1	474	8.23	8.94	4.33	33863
Candies, REESE's Fast Break, milk chocolate, peanut butter, soft nougats, candy bar	Sweets	8.93	0.036	0.321	3.6	0	0.257	63.9	53.57	23.21	1.66	495	8.036	8.104	4.241	33864
Candies, ROLO Caramels in Milk Chocolate	Sweets	5.08	0.145	0.188	0.9	0.0009	0.188	67.95	63.93	20.93	4.6	474	14.542	2.104	0.265	33865
Candies, SKOR Toffee Bar	Sweets	3.13	0	0.317	1.3	0.0005	0.153	61.72	59.89	32.18	1.57	535	18.78	9.29	1.28	33866
Candies, SYMPHONY Milk Chocolate Bar	Sweets	8.51	0.251	0.101	1.7	0.0022	0.438	58.01	53.96	30.57	0.94	531	18.34	7.91	0.69	33868
Candies, TOOTSIE ROLL, chocolate-flavor roll	Sweets	1.59	0.036	0.044	0.1	0	0.116	87.73	56.32	3.31	6.69	387	0.967	1.929	0.266	33869
Candies, TWIZZLERS NIBS CHERRY BITS	Sweets	2.3	0.008	0.195	0.6	0	0.037	79.37	51.35	2.64	15	347	0.54	1.88	0.14	33871
Candies, WHATCHAMACALLIT Candy Bar	Sweets	8.04	0.118	0.299	1.9	0.0009	0.303	63.23	48.86	23.68	3.04	494	17.04	3.78	0.83	33873
Candies, YORK BITES	Sweets	1.78	0.01	0.046	2	0	0.108	81.64	75	7.32	9.09	394	4.43	0.48	0.1	33874
Candies, YORK Peppermint Pattie	Sweets	2.19	0.011	0.028	2	0	0.111	80.99	63.78	7.17	9.03	384	4.34	0.41	0.11	33875
Candies, caramels, chocolate-flavor roll	Sweets	1.59	0.036	0.044	0.1	0	0.116	85.97	56.32	5.07	6.69	396	0.963	3.836	0.268	33878
Candies, carob, unsweetened	Sweets	8.15	0.303	0.107	3.8	0.0005	0.633	56.29	34.11	31.36	1.54	540	29.018	0.483	0.295	33879
Candies, chocolate covered, caramel with nuts	Sweets	9.5	0.078	0.024	4.3	0.0014	0.445	60.67	41.35	21	6.1	470	4.657	9.444	5.834	33880
Candies, chocolate covered, dietetic or low calorie	Sweets	12.26	0.285	0.112	3.6	0.0019	0.606	38.55	14.57	43.27	3.23	593	21.91	10.942	4.354	33881
Candies, chocolate, dark, NFS (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)	Sweets	5.09	0.057	0.023	7.2	0	0.568	59.97	46.14	32.2	1	550	18.993	9.801	1.107	33882
Candies, confectioner's coating, peanut butter	Sweets	18.3	0.11	0.25	5	0.0003	0.505	46.88	38.3	29.8	2.67	529	13.12	12.829	2.053	33884
Candies, crispy bar with peanut butter filling	Sweets	9.53	0.07	0.264	3.3	0.0006	0.295	55.53	40.33	31.34	1.6	542	12.959	10.82	4.68	33886
Candies, fudge, chocolate marshmallow, prepared-from-recipe	Sweets	2.26	0.045	0.085	1.7	0.0002	0.147	71.34	64.06	17.48	7.82	453	10.669	5.205	0.611	33890
Candies, fudge, chocolate, prepared-from-recipe	Sweets	2.39	0.049	0.045	1.7	0	0.134	76.44	73.12	10.41	9.81	411	6.448	2.943	0.373	33892
Candies, fudge, chocolate, with nuts, prepared-from-recipe	Sweets	4.38	0.057	0.039	2.5	0.0002	0.183	67.93	63.37	18.93	7.66	461	6.489	3.9	7.529	33893
Candies, fudge, peanut butter, prepared-from-recipe	Sweets	3.78	0.042	0.118	0.7	0	0.119	77.75	73.36	6.59	10.93	387	1.721	2.867	1.588	33894
Candies, fudge, vanilla with nuts	Sweets	3	0.047	0.042	0.9	0.0001	0.103	74.61	71	13.69	7.99	435	3.828	2.454	6.614	33895
Candies, marshmallows	Sweets	1.8	0.003	0.08	0.1	0	0.005	81.3	57.56	0.2	16.4	318	0.056	0.08	0.047	33903
Candies, milk chocolate	Sweets	7.65	0.189	0.079	3.4	0	0.372	59.4	51.5	29.66	1.5	535	18.509	7.186	1.376	33904
Candies, milk chocolate coated coffee beans	Sweets	7.41	0.169	0.07	5.7	0	0.413	55.25	50.75	33.18	2.42	549	18.138	13.735	1.31	33905
Candies, milk chocolate coated peanuts	Sweets	13.1	0.104	0.041	4.7	0	0.502	49.7	37.59	33.5	1.9	519	14.6	12.92	4.33	33906
Candies, milk chocolate coated raisins	Sweets	4.1	0.086	0.036	3.1	0.0002	0.514	68.4	62.22	14.8	11.2	390	10.272	3.134	0.571	33907
Candies, milk chocolate, with almonds	Sweets	9	0.224	0.074	6.2	0.0002	0.444	53.4	43.9	34.4	1.5	526	17.701	11.96	3.019	33908
Candies, milk chocolate, with rice cereal	Sweets	7.64	0.187	0.086	3.3	0.0006	0.37	59.67	51.06	29.37	1.52	511	15.89	8.64	0.78	33909
Candies, peanut bar	Sweets	15.5	0.078	0.156	4.1	0	0.407	47.4	42.22	33.7	1.6	522	4.678	16.721	10.65	33911
Candies, peanut brittle, prepared-from-recipe	Sweets	7.57	0.027	0.445	2.5	0	0.168	71.24	51.33	18.98	0.7	486	4.144	8.064	4.558	33912
Candies, praline, prepared-from-recipe	Sweets	3.3	0.043	0.048	3.5	0.0003	0.217	59.59	55.79	25.9	10.36	485	2.224	14.683	7.778	33913
Candies, semisweet chocolate	Sweets	4.2	0.032	0.011	5.9	0	0.365	63.9	54.5	30	0.7	480	17.75	9.966	0.966	33914
Candies, sesame crunch	Sweets	11.6	0.639	0.167	7.7	0	0.307	50.3	31.17	33.3	2.2	516	4.662	12.571	14.591	33916
Candies, soft fruit and nut squares	Sweets	2.31	0.017	0.131	2.4	0.0002	0.082	73.81	45.95	9.52	13.88	390	0.898	1.297	6.84	33917
Candies, sugar-coated almonds	Sweets	10	0.1	0.013	2.5	0	0.255	68.26	62.5	17.93	2.3	474	1.948	12.078	3.904	33918
Candies, sweet chocolate	Sweets	3.9	0.024	0.016	5.5	0	0.29	60.4	51.48	34.2	0.5	507	20.08	11.22	0.99	33919
Candies, sweet chocolate coated fondant	Sweets	2.2	0.017	0.026	2.1	0	0.168	80.4	71.42	9.3	7.7	366	5.46	3.09	0.3	33920
Candies, truffles, prepared-from-recipe	Sweets	6.21	0.157	0.068	2.5	0.0001	0.297	44.88	38.31	33.76	13.47	510	18.488	12.636	1.013	33923
Candies, white chocolate	Sweets	5.87	0.199	0.09	0.2	0.0005	0.286	59.24	59	32.09	1.3	539	19.412	9.097	1.013	33924
Chocolate, dark, 45- 59% cacao solids	Sweets	4.88	0.056	0.024	7	0	0.559	61.17	47.9	31.28	0.97	546	18.519	9.54	1.092	33927
Chocolate, dark, 60-69% cacao solids	Sweets	6.12	0.062	0.01	8	0	0.567	52.42	36.71	38.31	1.25	579	22.031	11.522	1.221	33928
Chocolate, dark, 70-85% cacao solids	Sweets	7.79	0.073	0.02	10.9	0	0.715	45.9	23.99	42.63	1.37	598	24.489	12.781	1.257	33929
Cocoa, dry powder, hi-fat or breakfast, plain	Sweets	16.8	0.122	0.02	29.8	0	1.574	51.39	1.55	23.71	3	486	12.64	7.38	0.769	33931
Cocoa, dry powder, hi-fat or breakfast, processed with alkali	Sweets	16.8	0.122	0.02	33.9	0	2.509	49.71	1.53	23.71	3	479	12.64	7.38	0.769	33932
Cocoa, dry powder, unsweetened	Sweets	19.6	0.128	0.021	33.2	0	1.524	57.9	1.75	13.7	3	228	8.07	4.57	0.44	33933
Cocoa, dry powder, unsweetened, processed with alkali	Sweets	18.1	0.111	0.019	29.8	0	2.509	58.3	1.76	13.1	2.7	220	7.76	4.39	0.42	33935
Desserts, apple crisp, prepared-from-recipe	Sweets	1.75	0.035	0.351	1.4	0.0022	0.078	30.84	19.68	3.43	62.91	161	0.685	1.334	1.144	33936
Desserts, mousse, chocolate, prepared-from-recipe	Sweets	4.14	0.096	0.038	0.6	0.0001	0.143	16.07	14.81	16	62.94	225	9.151	5.027	0.879	33939
Frostings, chocolate, creamy, dry mix, prepared with butter	Sweets	1.11	0.012	0.124	1.9	0	0.143	71.8	0.01	13.06	13.33	408	8.369	3.425	0.496	33950
Frostings, chocolate, creamy, ready-to-eat	Sweets	1.1	0.008	0.183	0.9	0	0.196	63.2	57.7	17.6	17	397	5.526	9.02	2.13	33952
Frostings, coconut-nut, ready-to-eat	Sweets	1.5	0.013	0.195	2.5	0.0002	0.186	52.7	40	24	21	433	8.631	10.786	3.264	33953
Frostings, glaze, chocolate, prepared-from-recipe, with butter, NFSMI Recipe No. C-32	Sweets	1.42	0.032	0.132	1.1	0.0001	0.13	72.18	64.3	7.17	18.27	359	4.483	1.894	0.294	33955
Frozen novelties, No Sugar Added, FUDGESICLE pops	Sweets	3.6	0.101	0.102	1.6	0.0007	0.196	22.28	3.93	0.97	71.85	105	0.591	0.157	0.089	33972
Frozen novelties, ice cream type, sundae, prepackaged	Sweets	4.3	0.12	0.095	0.3	0.0018	0.211	29.4	20.74	6	59.3	185	3.09	1.872	0.663	33976
Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated	Sweets	6.4	0.222	0.104	0.8	0	0.305	26.11	8.52	10.1	56.2	221	5.528	2.7	1.359	33977
Frozen yogurts, chocolate	Sweets	3	0.1	0.063	2.3	0	0.234	21.6	19.24	3.6	71.2	127	2.272	0.961	0.102	33987
Frozen yogurts, chocolate, nonfat milk, sweetened without sugar	Sweets	4.4	0.159	0.081	2	0.0007	0.339	19.7	12.61	0.8	73.5	107	0.505	0.214	0.03	33988
Fruit butters, apple	Sweets	0.39	0.014	0.015	1.5	0.0006	0.091	42.47	35.3	0.3	56.45	173	0.053	0.016	0.084	33992
Ice creams, chocolate	Sweets	3.8	0.109	0.076	1.2	0.0007	0.249	28.2	25.36	11	55.7	216	6.8	3.21	0.41	34015
Ice creams, chocolate, light	Sweets	5	0.159	0.071	0.8	0.0012	0.17	25.7	24.71	7.19	61.43	187	4.38	2.055	0.241	34016
Ice creams, chocolate, light, no sugar added	Sweets	3.54	0.121	0.075	0.9	0.0007	0.196	26.79	5.65	5.74	62.99	173	3.61	0.93	0.527	34017
Ice creams, chocolate, rich	Sweets	4.72	0.142	0.057	0.9	0.0005	0.238	20.75	17.35	16.98	57.52	255	10.377	4.794	0.658	34018
Ice creams, french vanilla, soft-serve	Sweets	4.1	0.131	0.061	0.7	0.0008	0.177	22.2	21.16	13	59.8	222	7.48	3.49	0.45	34019
Ice creams, regular, low carbohydrate, chocolate	Sweets	3.8	0.109	0.076	4.8	0.0007	0.249	26.8	6.35	12.7	55.7	237	6.8	3.21	0.41	34020
Ice creams, regular, low carbohydrate, vanilla	Sweets	3.17	0.128	0.048	4.8	0.0006	0.199	22.23	6.35	12.7	61	216	6.79	3.17	0.41	34021
Ice creams, vanilla	Sweets	3.5	0.128	0.08	0.7	0.0006	0.199	23.6	21.22	11	61	207	6.79	2.969	0.452	34023
Ice creams, vanilla, light	Sweets	4.78	0.161	0.074	0.3	0.0012	0.208	29.46	22.12	4.83	59.85	180	2.927	1.281	0.219	34025
Jams and preserves, dietetic (with sodium saccharin), any flavor	Sweets	0.3	0.009	0	2.5	0	0.069	53.6	37.81	0.3	45.8	132	0.016	0.042	0.151	34031
Puddings, all flavors except chocolate, low calorie, instant, dry mix	Sweets	0.81	0.143	4.25	0.8	0	0.03	84.66	0.9	0.9	6.84	350	0.099	0.116	0.433	34044
Puddings, all flavors except chocolate, low calorie, regular, dry mix	Sweets	1.6	0.049	1.765	0.9	0	0.018	86.04	2.9	0.1	10.4	351	0.018	0.032	0.05	34045
Puddings, chocolate flavor, low calorie, instant, dry mix	Sweets	5.3	0.126	2.838	6.1	0	1.279	78.2	0.7	2.4	4.2	356	0.984	1.154	0.131	34054
Puddings, chocolate flavor, low calorie, regular, dry mix	Sweets	10.08	1.512	3.326	10.1	0	0.57	74.42	0.7	3	6.8	365	1.578	1.15	0.13	34055
Puddings, chocolate, dry mix, instant	Sweets	2.3	0.012	1.429	3.6	0	0.236	87.9	67.86	1.9	3.2	378	0.825	0.487	0.348	34056
Puddings, chocolate, dry mix, regular	Sweets	2.6	0.053	0.353	4.5	0	0.209	89.3	42.88	2.1	4	362	1.234	0.703	0.079	34059
